year;final.ivdu;add.year;exivdu.cured;exivdu.temporary;exivdu.dead
1973;388;286;19;58;1
1974;588;316;29;137;1
1975;905;346;45;251;3
1976;1237;376;62;396;4
1977;1581;406;79;570;6
1978;1938;436;97;770;8
1979;2308;466;115;993;10
1980;2689;496;134;1237;12
1981;2507;526;125;1415;14
1982;2360;476;118;1543;15
1983;2440;472;122;1662;17
1984;3093;575;155;1860;19
1985;3560;635;178;2096;21
1986;3333;571;167;2261;23
1987;3478;572;174;2421;24
1988;3589;566;179;2572;26
1989;3900;591;195;2745;27
1990;4506;655;225;2982;30
1991;4853;678;243;3233;32
1992;5066;679;253;3476;35
1993;5444;701;272;3736;37
1994;5881;726;294;4021;40
1995;7236;858;362;4463;45
1996;7338;835;367;4849;48
1997;9006;984;450;5424;54
1998;9272;973;464;5947;59
1999;11483;1157;574;6718;67
2000;13165;1273;658;7618;76
2001;13882;1289;694;8481;85
2002;12240;1091;612;8960;90
2003;10937;936;547;9167;92
2004;8848;727;442;9028;90
2005;8884;700;444;8916;89
2006;8392;635;420;8748;87
2007;9018;655;451;8701;87
2008;9416;657;471;8721;87
2009;9212;617;461;8708;87
2010;8878;571;444;8646;86
2011;8482;523;424;8535;85
2012;8393;497;420;8428;84
